mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_components_meal,param_n_components_nonmeal,param_n_mix_meal,param_n_mix_nonmeal,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7006797313690185,0.13491791187262625,79.41018891334534,2.5439429604888555,1,1,1,1,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 1, 'n_mix_nonmeal': 1}",0.8045489788576317,0.7972269745436527,0.5485040162967458,0.6905047490380459,0.7760880235972573,0.7233745484666667,0.09641815823066396,518
10.65001130104065,0.6081969223366107,79.96624732017517,4.616445598470823,1,1,1,3,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 1, 'n_mix_nonmeal': 3}",0.8700156849247904,0.8292948655687451,0.5856407465046809,0.749924016289282,0.8826385366300078,0.7835027699835013,0.10925768964526729,354
18.081146049499512,0.2992671429783727,82.30079545974732,6.703159119917877,1,1,1,5,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 1, 'n_mix_nonmeal': 5}",0.8560837576738209,0.8091824772399012,0.6000037717849563,0.7204920528962508,0.8989096540712627,0.7769343427332384,0.10646380385720948,387
26.019524478912352,2.733114527593958,86.67178792953491,5.1329120261118035,1,1,1,7,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 1, 'n_mix_nonmeal': 7}",0.8339333587813542,0.7352243075502405,0.5883500012860052,0.7073415218827228,0.8944380876863018,0.751857455437325,0.1058855118646302,460
31.882929420471193,2.393711445400272,101.27767806053161,7.425320884514204,1,1,1,9,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 1, 'n_mix_nonmeal': 9}",0.7556565399144197,0.7290187914247444,0.599033200359263,0.678692932518792,0.8964243060879853,0.7317651540610408,0.09810750165494779,493
4.312694549560547,0.13352963189651446,102.6616720199585,5.1161253779477285,1,1,3,1,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 3, 'n_mix_nonmeal': 1}",0.3639385213784555,0.34801858876591973,0.4951406790504841,0.42551735037369254,0.48067263910444147,0.4226575557345987,0.05940813391326632,602
12.624892711639404,0.7198020080267639,108.40003595352172,3.7163332117420556,1,1,3,3,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 3, 'n_mix_nonmeal': 3}",0.7957806389510771,0.8402642036906108,0.6174553445860563,0.8278927217918424,0.7930014598546635,0.7748788737748501,0.08078760908173854,396
19.525482082366942,0.4777712497605244,98.89799675941467,9.943602019896124,1,1,3,5,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 3, 'n_mix_nonmeal': 5}",0.8069101219266739,0.863717921825784,0.6694748866778569,0.8182352521188274,0.82436037219659,0.7965397109491466,0.06634849313498056,281
29.916772651672364,2.7759463200043926,90.36757774353028,12.085413884211269,1,1,3,7,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 3, 'n_mix_nonmeal': 7}",0.8290174246340092,0.8467693917095904,0.6802864792248413,0.79839016117415,0.842890668711278,0.7994708250907738,0.06197017815495274,250
42.26956572532654,8.205427816891676,108.70467596054077,23.457122080347002,1,1,3,9,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 3, 'n_mix_nonmeal': 9}",0.8050711768864578,0.8147362705525467,0.700940787981879,0.7862287826753367,0.8970719930115468,0.8008098022215535,0.06271354135449439,234
5.254982662200928,1.191171677260446,77.465314245224,20.411158064119427,1,1,5,1,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 5, 'n_mix_nonmeal': 1}",0.24258254724905062,0.3223376386649757,0.4753854685309055,0.33389742889988006,0.3566793421046892,0.34617648508990023,0.0751745185345323,605
16.50400815010071,2.944040663162134,102.52109379768372,20.24824019621701,1,1,5,3,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 5, 'n_mix_nonmeal': 3}",0.7851067817043461,0.8309282800655537,0.612902383434035,0.7960416063720722,0.7261906184733503,0.7502339340098716,0.07650368833523154,462
18.649410724639893,3.0256741462487744,78.51482982635498,18.187166803811028,1,1,5,5,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 5, 'n_mix_nonmeal': 5}",0.8055772216925683,0.8587286235005156,0.623440480217349,0.8266178150082987,0.7824187008366709,0.7793565682510806,0.08190271598693012,372
28.348001194000243,4.324477685640633,100.39626340866089,24.764143518729036,1,1,5,7,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 5, 'n_mix_nonmeal': 7}",0.8335516458596446,0.837861660285641,0.64269698452735,0.8072583191942783,0.8038021162236564,0.7850341452181141,0.07245786661889346,344
41.761864042282106,9.725091118380208,119.71922507286072,35.692719777583484,1,1,5,9,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 5, 'n_mix_nonmeal': 9}",0.8424444722025602,0.8141239949963326,0.661392012111269,0.8081065380089933,0.8645687881929821,0.7981271611024275,0.07131690052335853,265
10.107876014709472,1.9039521058082893,153.6268286705017,33.74483716169787,1,1,7,1,"{'n_components_meal': 1, 'n_components_nonmeal': 1, 'n_mix_meal': 7, 'n_mix_nonmeal': 1}",0.2865659814879833,0.35599994261093776,0.45329288579207627,0.3589389003158039,0.2771874613895512,0.34639703431927044,0.06331817619048064,604
