mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_components_meal,param_n_components_nonmeal,param_n_mix_meal,param_n_mix_nonmeal,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46.22506623268127,7.519044128234099,104.03294405937194,8.949888935635155,1,2,6,8,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 6, 'n_mix_nonmeal': 8}",0.8801679429564522,0.8265429477257681,0.6664106002468461,0.8228427870514482,0.8860277008808459,0.816398395772272,0.07944252790269396,25
53.38230619430542,5.141493322100025,106.56706795692443,15.019855011206673,1,2,6,9,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 6, 'n_mix_nonmeal': 9}",0.874900719772804,0.8209898380388351,0.668055678027025,0.8004748816748514,0.8778681186902699,0.8084578472407571,0.0763753739703,45
56.135052871704104,7.690606285348694,99.66499452590942,15.15321620988879,1,2,6,10,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 6, 'n_mix_nonmeal': 10}",0.8863401137004265,0.8204000471154205,0.6779227224062748,0.827567531721364,0.8796951068597227,0.8183851043606417,0.07509308544951658,19
50.7036771774292,7.163586118563322,117.00411972999572,10.881446695696964,1,2,7,8,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 7, 'n_mix_nonmeal': 8}",0.8694956919174552,0.8125772114297208,0.6475217887927827,0.8393228281815446,0.8667321070419076,0.8071299254726823,0.0824411572888256,51
46.807652759552,10.026576136869501,117.11693539619446,11.206408098309016,1,2,7,9,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 7, 'n_mix_nonmeal': 9}",0.8823448106737629,0.8240856560847067,0.6606063228653184,0.8327708904037118,0.898445045197751,0.8196505450450502,0.08441092639943965,14
45.2905177116394,0.9714661123102792,107.32825112342834,2.931677607656585,1,2,7,10,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 7, 'n_mix_nonmeal': 10}",0.902914396104262,0.8361296117775971,0.6703164776943985,0.8318248856208261,0.865252350556506,0.8212875443507179,0.07964851863757563,10
40.73756041526794,5.148114928892015,115.56320724487304,14.540368523283917,1,2,8,8,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 8, 'n_mix_nonmeal': 8}",0.8878744832707679,0.8439239543272099,0.6333784596683824,0.8303120762461738,0.8791764903988146,0.8149330927822696,0.09325956098366775,32
44.68112411499023,2.2375393778705974,137.65210695266722,5.193260463841394,1,2,8,9,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 8, 'n_mix_nonmeal': 9}",0.8881312675157688,0.8411728859114647,0.6572053527452071,0.8240633712306848,0.8705051839048897,0.8162156122616031,0.08256867992185662,27
48.01559619903564,2.1436321153861986,136.59071969985962,3.8045528267445223,1,2,8,10,"{'n_components_meal': 1, 'n_components_nonmeal': 2, 'n_mix_meal': 8, 'n_mix_nonmeal': 10}",0.899169560308079,0.8378170050055409,0.6651767373331076,0.8164227730923088,0.8137232263450642,0.8064618604168201,0.07706010113224573,54
48.325874948501585,1.6953063588407828,134.9506341457367,5.00070690484582,1,3,6,8,"{'n_components_meal': 1, 'n_components_nonmeal': 3, 'n_mix_meal': 6, 'n_mix_nonmeal': 8}",0.8954427015328483,0.8366405336476799,0.6615893276750978,0.834084527644745,0.8760557582615258,0.8207625697523794,0.08294596321846594,12
54.43006148338318,1.7844318675718525,136.3988392829895,4.930777836795949,1,3,6,9,"{'n_components_meal': 1, 'n_components_nonmeal': 3, 'n_mix_meal': 6, 'n_mix_nonmeal': 9}",0.87751557078773,0.8166110642200939,0.6605682103392229,0.824850235539795,0.8881805950984959,0.8135451351970675,0.08148842035265237,35
64.56215376853943,1.269583735053027,164.95171265602113,6.2465959641807975,1,3,6,10,"{'n_components_meal': 1, 'n_components_nonmeal': 3, 'n_mix_meal': 6, 'n_mix_nonmeal': 10}",0.8911466125369781,0.828179820737279,0.6764777503780196,0.8324969605448294,0.8771753067252774,0.8210952901844767,0.07634995415634838,11
52.6675624370575,0.7097211306592133,160.59583320617676,7.690639712649373,1,3,7,8,"{'n_components_meal': 1, 'n_components_nonmeal': 3, 'n_mix_meal': 7, 'n_mix_nonmeal': 8}",0.9086547780577632,0.8271155174457415,0.6736712716175685,0.8319590555987029,0.8976907759325995,0.8278182797304752,0.0838995175160308,5
57.31276774406433,3.560724250310337,151.06357583999633,12.137861797190297,1,3,7,9,"{'n_components_meal': 1, 'n_components_nonmeal': 3, 'n_mix_meal': 7, 'n_mix_nonmeal': 9}",0.9078593215415403,0.8377132541762426,0.6795751979575219,0.8389617976057322,0.9041788971366327,0.8336576936835339,0.08278299135901702,1
65.55668005943298,0.7588191588193435,148.6267587184906,5.451503713875557,1,3,7,10,"{'n_components_meal': 1, 'n_components_nonmeal': 3, 'n_mix_meal': 7, 'n_mix_nonmeal': 10}",0.9113186928509117,0.8279578651131045,0.6530583224570077,0.8384560092181246,0.8649201944639546,0.8191422168206207,0.0878939408253502,16
53.70347867012024,1.570126093925736,159.30504627227782,11.894147549970985,1,3,8,8,"{'n_components_meal': 1, 'n_components_nonmeal': 3, 'n_mix_meal': 8, 'n_mix_nonmeal': 8}",0.9031688066627266,0.8387640604815578,0.657505711094742,0.8147301699901672,0.8742550983450224,0.8176847693148431,0.08557817435937289,20
